,gauge_lat,gauge_lon
05014500,48.7991,-113.6568
06019500,45.1924,-112.1425
06043500,45.4974,-111.2705
06093200,48.37,-112.8028
06192500,45.5972,-110.566
06224000,43.1769,-109.2029
06280300,44.2083,-109.5549
06289000,45.0069,-107.6151
06298000,44.8494,-107.3045
06311000,44.0277,-107.0809
06422500,44.1439,-103.4549
06622700,41.3702,-106.5206
06623800,41.0236,-106.8248
07207500,36.5736,-104.9467
07215500,35.9409,-105.2503
08267500,36.5417,-105.5564
08271000,36.5084,-105.5308
08279000,36.2109,-105.9136
08291000,35.9647,-105.9045
08324000,35.6617,-106.7434
08378500,35.7084,-105.6825
08380500,35.652,-105.3189
09026500,39.91,-105.8783
09036000,39.8339,-106.0564
09059500,39.8,-106.5839
09065500,39.6258,-106.2781
09066200,39.6483,-106.3231
09081600,39.2322,-107.2273
09124500,38.2989,-107.2301
09210500,42.0961,-110.4166
09223000,42.1105,-110.7096
09255000,40.9825,-107.3828
09266500,40.5775,-109.6221
09277500,40.3002,-110.6024
09289500,40.6066,-110.5271
09292500,40.5119,-110.3415
09312600,39.8758,-111.0374
09342500,37.2661,-107.0109
09404450,37.3394,-112.6044
09430600,33.1667,-108.6498
09492400,33.8223,-109.8145
09496500,33.9859,-110.2809
09497800,33.8431,-110.5576
09497980,33.8278,-110.8562
09499000,33.98,-111.3035
09504500,34.7645,-111.891
09505200,34.6747,-111.6721
09505350,34.7286,-111.7757
09505800,34.5386,-111.694
09507980,34.2764,-111.6388
09508300,34.1609,-111.6929
09510200,33.6942,-111.5418
10032000,42.2933,-110.8724
10109000,41.7433,-111.7827
10150500,40.0497,-111.548
10173450,37.6228,-112.5169
10194200,38.5791,-112.2902
10205030,38.9119,-111.5305
10215900,39.2591,-111.5799
10242000,37.6722,-113.0347
10263500,34.4208,-117.8395
10296500,38.5132,-119.4499
10308200,38.7146,-119.7649
10310000,38.7696,-119.8338
10316500,40.6908,-115.477
10336660,39.1074,-120.1621
10336676,39.1321,-120.1577
10336780,38.9199,-119.9724
10343500,39.4316,-120.238
10396000,42.7908,-118.8675
11055800,34.1439,-117.1887
11062001,34.2122,-117.4581
11113500,34.3956,-119.0765
11124500,34.5967,-119.9088
11132500,34.5886,-120.4085
11143000,36.2458,-121.7733
11152000,36.2805,-121.3227
11176400,37.5613,-121.6838
11186000,35.9452,-118.4776
11200800,35.9416,-118.8229
11230500,37.3394,-118.9735
11315000,38.5191,-120.2127
11316800,38.4032,-120.4469
11367500,41.1882,-122.0656
11379500,40.0246,-122.5097
11381500,40.0546,-122.0242
11383500,40.014,-121.9483
11427700,39.1357,-120.4785
11449500,38.9274,-122.8436
11451100,39.1654,-122.62
11468000,39.1721,-123.6695
11468500,39.4282,-123.7378
11469000,40.3132,-124.2837
11473900,39.7063,-123.3253
11475560,39.7296,-123.6439
11476600,40.3513,-124.0039
11478500,40.4804,-123.8909
11481200,41.011,-124.0817
11482500,41.2993,-124.0512
11521500,41.8351,-123.3831
11522500,41.3776,-123.4776
11523200,41.1113,-122.7056
11528700,40.6499,-123.4942
11532500,41.7915,-124.0762
12013500,46.6509,-123.6527
12020000,46.6173,-123.2776
12025000,46.6201,-122.9451
12025700,46.7726,-122.594
12045500,48.0548,-123.5832
12048000,48.0143,-123.1327
12054000,47.684,-123.0116
12082500,46.7526,-122.0837
12092000,46.9037,-122.0351
12115000,47.3701,-121.6251
12134500,47.8373,-121.6668
12143400,47.4151,-121.5873
12167000,48.2615,-122.0476
12175500,48.6726,-121.0729
12205000,48.906,-121.8443
12302055,48.3555,-115.3149
12324590,46.5197,-112.7934
12330000,46.4721,-113.234
12332000,46.1845,-113.5025
12344000,45.9721,-114.1415
12358500,48.4952,-114.0101
12370000,48.0244,-113.9798
12389500,47.5919,-115.2296
12390700,47.586,-115.3552
12409000,48.5943,-118.0625
12411000,47.7061,-115.9792
12414500,47.2746,-116.189
12414900,47.1763,-116.4927
12447390,48.8229,-120.1459
12451000,48.3296,-120.6918
12452800,47.8185,-120.4231
12459000,47.5832,-120.6195
12488500,46.9776,-121.1687
13011500,43.8503,-110.5178
13011900,43.8381,-110.4411
13018300,43.4522,-110.7041
13023000,43.1428,-110.9767
13047500,44.0686,-111.2414
13120000,43.9336,-114.1125
13185000,43.6594,-115.7272
13186000,43.4958,-115.3081
13200000,43.6481,-115.9897
13235000,44.0853,-115.6222
13240000,44.9136,-115.9972
13258500,44.5794,-116.6433
13313000,44.9617,-115.5
13331500,45.6199,-117.7266
13336500,46.0867,-115.5139
13337000,46.1508,-115.5872
13338500,46.0864,-115.9767
13340600,46.8405,-115.6207
13345000,46.9152,-116.951
14013000,46.0079,-118.1186
14020000,45.7196,-118.3233
14097100,44.8565,-121.1498
14137000,45.3996,-122.1373
14139800,45.4446,-122.1095
14141500,45.4154,-122.1715
14154500,43.736,-122.8734
14158500,44.361,-121.9956
14158790,44.3346,-122.047
14165000,44.0929,-122.9573
14178000,44.7068,-122.1012
14182500,44.7915,-122.579
14185000,44.3918,-122.4976
14185900,44.5401,-122.4359
14226500,46.6129,-121.6793
14236200,46.5954,-122.4596
14305500,44.7151,-123.8873
14308000,42.9304,-122.9484
14309500,42.804,-123.6109
14316700,43.3498,-122.7289
14325000,42.8915,-124.0707
14332000,42.7082,-122.3928
14400000,42.1234,-124.1873
